results__relative_uri,results__name,results__party,results__state,results__district,results__committee,results__status,results__total_from_individuals,results__total_from_pacs,results__total_contributions,results__candidate_loans,results__total_disbursements,results__begin_cash,results__end_cash,results__total_refunds,results__debts_owed,results__date_coverage_from,results__date_coverage_to
/candidates/S4CO00395.json,"GARDNER, CORY",REP,/races/CO.json,0,/committees/C00492454.json,I,1995170.01,1320380.83,3360150.84,null,793711.46,1701437.57,4919791.17,46550,null,2019-01-01,2019-06-30
/candidates/S2KY00012.json,"MCCONNELL, MITCH",REP,/races/KY.json,0,/committees/C00193342.json,I,2994920.43,1254488.28,4249408.71,null,919654.68,3595456.04,7874816.47,57736.11,null,2019-01-01,2019-06-30
/candidates/S4MI00355.json,"PETERS, GARY",DEM,/races/MI.json,0,/committees/C00437889.json,I,2896352.95,1077617.44,3973970.39,null,1111493.99,1503727.91,4714855.59,16060.48,null,2019-01-01,2019-06-30
/candidates/S4NC00162.json,"TILLIS, THOM R. SEN.",REP,/races/NC.json,0,/committees/C00545772.json,I,1436143.46,1051300,2487443.46,null,710301.32,2025444.43,4387420.8,40880,null,2019-01-01,2019-06-30
/candidates/H2MD05155.json,"HOYER, STENY",DEM,/races/MD.json,5,/committees/C00140715.json,I,255967.14,885490,1141457.14,null,1051065.38,634132.38,865414.11,970,null,2019-01-01,2019-06-30
/candidates/S4IA00129.json,"ERNST, JONI K",REP,/races/IA.json,0,/committees/C00546788.json,I,1001901.01,864463.53,1866364.54,null,740748.29,1363149.69,3438302.17,20403,null,2019-01-01,2019-06-30
/candidates/S8AZ00221.json,"MCSALLY, MARTHA",REP,/races/AZ.json,0,/committees/C00666040.json,I,4049121.69,830650,4924371.69,null,2046560.38,923793.51,4376711.44,99679.75,null,2019-01-01,2019-06-30
/candidates/S0AL00156.json,"JONES, DOUG",DEM,/races/AL.json,0,/committees/C00640623.json,C,2599782.14,817712.94,3417495.08,null,1527526.54,2131165.71,4259540.86,39286.75,null,2019-01-01,2019-06-30
/candidates/S2MT00096.json,"DAINES, STEVEN",REP,/races/MT.json,0,/committees/C00491357.json,I,1417549.82,794692.49,2212242.31,null,581045.41,1450176.34,3510319.36,16672.75,null,2019-01-01,2019-06-30
/candidates/S2TX00106.json,"CORNYN, JOHN SEN",REP,/races/TX.json,0,/committees/C00369033.json,I,2153832.99,761650,2915482.99,null,1264464.62,5790126.35,9070560.43,7800,null,2019-01-01,2019-06-30
/candidates/S8MN00578.json,"SMITH, TINA",DEM,/races/MN.json,99,/committees/C00663781.json,C,1735752.63,748545.09,2489897.72,null,1000560.09,433782.6,2078580.97,7430.16,null,2019-01-01,2019-06-30
/candidates/H8MA02041.json,"NEAL, RICHARD E MR.",DEM,/races/MA.json,1,/committees/C00226522.json,I,356226.27,747650,1103876.27,null,776745.69,3308302.26,3962356.46,6800,null,2019-01-01,2019-06-30
/candidates/S4GA11285.json,"PERDUE, DAVID",REP,/races/GA.json,0,/committees/C00547570.json,I,1287948.7,738150,2026098.7,null,532198.26,1703670.97,4862783.3,23953.13,820583.21,2019-01-01,2019-06-30
/candidates/H6TX08100.json,"BRADY, KEVIN",REP,/races/TX.json,8,/committees/C00311043.json,I,214522.05,724150,938672.05,null,596780.6,722637.18,1210207.81,null,null,2019-01-01,2019-06-30
/candidates/S0NH00219.json,"SHAHEEN, JEANNE",DEM,/races/NH.json,0,/committees/C00457325.json,I,2476528.97,722875.96,3199404.93,null,943337.78,467428.19,2882289.7,38310.3,null,2019-01-01,2019-06-30
/candidates/S0SC00149.json,"GRAHAM, LINDSEY O.",REP,/races/SC.json,0,/committees/C00458828.json,I,3723964.4,714000,4437964.4,null,1805551.48,3200959.2,6460822.56,76225.91,null,2019-01-01,2019-06-30
/candidates/H2SC02042.json,"CLYBURN, JAMES E.",DEM,/races/SC.json,6,/committees/C00255562.json,I,287518.79,712520,1000038.79,null,742470.92,905678.59,1165275.11,8100,null,2019-01-01,2019-06-30
/candidates/S6VA00093.json,"WARNER, MARK ROBERT",DEM,/races/VA.json,0,/committees/C00438713.json,I,2114261.45,710924,2825185.45,null,870140.03,3066836.33,5412994.84,21814,null,2019-01-01,2019-06-30
/candidates/S6ME00159.json,"COLLINS, SUSAN M.",REP,/races/ME.json,0,/committees/C00314575.json,I,2363315.03,710019.05,3073334.08,null,744842.67,2627724.77,5409262.73,14700,null,2019-01-01,2019-06-30
/candidates/H2IL13120.json,"DAVIS, RODNEY L",REP,/races/IL.json,13,/committees/C00521948.json,I,197555,693697.2,892352.2,null,451025.65,19576.43,532913.84,1650,null,2019-01-01,2019-06-30
